PMID	Title	Countries	Affiliation_Count
23153282	Synthesis of new 7-oxycoumarin derivatives as potent and selective monoamine oxidase A inhibitors.	Egypt	1
23153281	Mechanism of CO displacement from an unusually labile rhenium complex: an experimental and theoretic...	United States	1
23153283	Piper betle shows antioxidant activities, inhibits MCF-7 cell proliferation and increases activities...	Malaysia	1
23153284	Fearful faces grab attention in the absence of late affective cortical responses.	Japan	1
23153285	A de novo germline mutation in MYH7 causes a progressive dominant myopathy in pigs.	Switzerland	1
23153286	Food safety systems in a small dairy factory: implementation, major challenges, and assessment of sy...	Brazil	1
23153287	Spatial distribution of the emerging foodborne pathogen Arcobacter in the gastrointestinal tract of ...	Belgium	1
23153288	Sequencing of virulence genes shows limited genetic variability in Yersinia pseudotuberculosis.	Finland	1
23153290	Theoretical investigations toward the [4 + 2] cycloaddition of ketenes with N-benzoyldiazenes cataly...	China	1
23153289	Waist circumference and pulmonary function: a systematic review and meta-analysis.	Brazil	1
23153291	Low-level laser therapy for treatment of pain associated with orthodontic elastomeric separator plac...	Brazil	1
23153292	Spatial morphological and molecular differences within solid tumors may contribute to the failure of...	Australia	1
23153293	Disturbance in melatonin metabolism as a causative factor for recurrent headaches in a girl with a p...	Germany	1
23153294	Causes of crises and appropriate interventions: the views of people with dementia, carers and health...	United Kingdom	1
23153298	Stress inducible proteinase inhibitor diversity in Capsicum annuum.	India	1
23153299	Ultrafast excited-state intramolecular proton transfer of aloesaponarin I.	Japan	1
23153300	Cell-based reporter gene assay for therapy-induced neutralizing antibodies to interferon-beta in mul...	United States	1
23153302	Silicate mineral impacts on the uptake and storage of arsenic and plant nutrients in rice ( Oryza sa...	United States	1
23153301	Investigating the dearomative rearrangement of biaryl phosphine-ligated Pd(II) complexes.	United States	1
23153303	Metal and alloy nanoparticles by amine-borane reduction of metal salts by solid-phase synthesis: ato...	India	1
23153305	Separating stimulus-driven and response-related LRP components with Residue Iteration Decomposition ...	Germany	1
23153304	Antioxidant activity, total phenolic and total flavonoid contents of whole plant extracts Torilis le...	Pakistan	1
23153306	Molecular evidence for the occurrence of Japanese encephalitis virus genotype I and III infection as...	India	1
23153307	Structure dependence of long-chain [18F]fluorothia fatty acids as myocardial fatty acid oxidation pr...	United States	1
23153308	First survey and functional annotation of prohormone and convertase genes in the pig.	United States	1
23153309	A weight of evidence approach for hazard screening of engineered nanomaterials.	Italy	1
23153311	Monitoring the impact of decentralised chronic care services on patient travel time in rural Africa-...	United Kingdom	1
23153310	Immunohistochemical analysis based Ep-ICD subcellular localization index (ESLI) is a novel marker fo...	Canada	1
23153313	Prevalence of β-thalassemia trait and abnormal hemoglobin in premarital screening in the province of...	Turkey	1
23153314	Soil-based treatments of mechanically collected cyanobacterial blooms from Lake Taihu: efficiencies ...	China	1
23153312	Clinical efficacy and safety evaluation of a monopolar radiofrequency device with a new vibration ha...	United States	1
23153315	Detailed transient heme structures of Mb-CO in solution after CO dissociation: an X-ray transient ab...	United States	1
23153316	Reactions of the cumyloxyl and benzyloxyl radicals with strong hydrogen bond acceptors. Large enhanc...	Italy	1
23153317	Prognostic value of admission heart rate in patients with ST-segment elevation myocardial infarction...	China	1
23153318	Budget impact analysis of everolimus for the treatment of hormone receptor positive, human epidermal...	United States	1
23153319	Economic burden of dermatologic adverse drug reactions in the treatment of colorectal, non-small cel...	United States	1
23153320	'A chronic disease is a disease which keeps coming back…it is like the flu': chronic disease risk pe...	United Kingdom	1
23153321	Dynamics of regional lung aeration determined by electrical impedance tomography in patients with ac...	Germany	1
23153322	Salivary gland function 5 years after radioactive iodine ablation in patients with differentiated th...	South Korea	1
23153323	An electrophysiological analysis of contextual and temporal constraints on parafoveal word processin...	Spain	1
23153326	Hydrogen peroxide induces overexpression of angiotensin-converting enzyme in human umbilical vein en...	China	1
23153324	Characteristic molecular signature for early detection and prediction of persistent organic pollutan...	South Korea	1
23153325	Impact of sustained RNAi-mediated suppression of cellular cofactor Tat-SF1 on HIV-1 replication in C...	South Africa	1
23153328	A genome wide association study for backfat thickness in Italian Large White pigs highlights new reg...	Italy	1
23153327	Behcet's Syndrome.	United States	1
23153329	Contact de-electrification of electrostatically charged polymers.	United States	1
23153330	Conjugation of quinones with natural polyamines: toward an expanded antitrypanosomatid profile.	Italy	1
23153331	An exciting journey into excitability.	United States	1
23153332	The prognostic impact of epidermal growth factor receptor in patients with metastatic gastric cancer...	Germany	1
23153333	Measuring students' approaches to learning in different clinical rotations.	Indonesia	1
23153334	Mutational analysis of sulfite reductase hemoprotein reveals the mechanism for coordinated electron ...	United States	1
23153335	Spatial accessibility of primary health care utilising the two step floating catchment area method: ...	Australia	1
23153336	Comparison of different amino-functionalization procedures on a selection of metal oxide micropartic...	Finland	1
23153338	Kinetic studies of Ni organic complexes using diffusive gradients in thin films (DGT) with double bi...	United Kingdom	1
23153337	Induction of cognitive fatigue in MS patients through cognitive and physical load.	Germany	1
23153339	Thermodynamics-hydration relationships within loops that affect G-quadruplexes under molecular crowd...	Japan	1
23153341	An interview with Lucio G. Costa and Michael Aschner, section editors for toxicology.	United States	1
23153343	Evidence about preventing cardiovascular disease.	No Affiliation Info	0
23153340	Heart rate variability and target organ damage in hypertensive patients.	Italy	1
23153345	Physical activity, weight, and waist circumference in midlife women.	United States	1
23153346	Recovery of midlife women from myocardial infarction.	United States	1
23153344	The effects of resistance training on cardiovascular disease risk factors in postmenopausal women: a...	Turkey	1
23153342	Photodynamic control of bioactivity in a nanofiber matrix.	United States	1
23153347	Qatari women living with cardiovascular diseases-challenges and opportunities to engage in healthy l...	Canada	1
23153351	Higher-order aberrations and anisometropia.	United Kingdom	1
23153352	Horizontal relaxing incisions limit false positives in thick Mohs sections.	United States	1
23153353	Environmental health and household demographics impacting biosand filter maintenance and diarrhea in...	United States	1
23153354	The role of outcome expectations in the generation of the feedback-related negativity.	United States	1
23153355	Concussive injury before or after controlled cortical impact exacerbates histopathology and function...	United States	1
23153356	Construction of crystalline 2D covalent organic frameworks with remarkable chemical (acid/base) stab...	India	1
23153357	Mechanistic insights on organocatalytic enantioselective decarboxylative protonation by epicinchona-...	India	1
23153359	Wanted: role models--medical students' perceptions of professionalism.	Canada	1
23153358	The Alberta moving beyond breast cancer (AMBER) cohort study: a prospective study of physical activi...	Canada	1
23153361	Hydration shell parameters of aqueous alcohols: THz excess absorption and packing density.	Belgium	1
23153360	The impact of insecticide-treated school uniforms on dengue infections in school-aged children: stud...	Sweden	1
23153362	Northern = smart and Southern = nice: the development of accent attitudes in the United States.	United States	1
23153363	Dihydrotestosterone induces SREBP-1 expression and lipogenesis through the phosphoinositide 3-kinase...	China	1
23153364	The complete swine olfactory subgenome: expansion of the olfactory gene repertoire in the pig genome...	South Korea	1
23153366	Neuroimaging features of C9ORF72 expansion.	United States	2
23153365	Activation of Rac1-dependent redox signaling is critically involved in staurosporine-induced neurite...	South Korea	1
23153367	Free-Wilson and structural approaches to co-optimizing human and rodent isoform potency for 11β-hydr...	United Kingdom	1
23153369	The SIDS--critical diaphragm failure hypothesis revisited.	No Affiliation Info	0
23153370	Immobilizing performances, comfort, and user-friendliness of the shoulder abduction-external rotatio...	Japan	1
23153368	Electrocardiographic P-wave characteristics in patients with psoriasis vulgaris.	Turkey	1
23153371	Prevalence and severity of atherosclerosis in extra cranial carotid arteries in Nigeria: an autopsy ...	Nigeria	1
23153372	Formation of iron(III) (hydr)oxides on polyaspartate- and alginate-coated substrates: effects of coa...	United States	1
23153373	Microfluidic fabrication and thermoreversible response of core/shell photonic crystalline microspher...	China	1
23153374	Graphene/single-walled carbon nanotube hybrids: one-step catalytic growth and applications for high-...	China	1
23153375	The reconstruction of two large full-thickness wounds of the upper lip with different operative tech...	United States	1
23153376	Duplex destabilization by four ribosomal DEAD-box proteins.	United States	1
23153378	Comparing P300 modulations: target-to-target interval versus infrequent nontarget-to-nontarget inter...	Australia	1
23153377	Pyrethroid pesticide exposure and risk of childhood acute lymphocytic leukemia in Shanghai.	China	1
23153379	Benefits of hyperthermic intraperitoneal chemotherapy for patients with serosal invasion in gastric ...	China	1
23153380	Temporal aggregation impacts on epidemiological simulations employing microcontact data.	Canada	1
23153382	Efficacy of single-session abreactive ego state therapy for combat stress injury, PTSD, and ASD.	United States	1
23153381	Synthesis of a potent antimalarial amphilectene.	United States	1
23153383	Efficacy of abreactive ego state therapy for PTSD: trauma resolution, depression, and anxiety.	United States	1
23153384	Group hypnotherapy for irritable bowel syndrome with long-term follow-up.	United States	1
23153385	Flexibility in processing visual information: effects of mood and hypnosis.	Other	1
23153387	A cross-validation of two differing measures of hypnotic depth.	United States	1
23153386	What motivates professionals to learn and use hypnosis in clinical practice?	Israel	1
23153388	Hypnosis for management of fibromyalgia.	France	1
23153389	Imageability, age of acquisition, and frequency factors in acronym comprehension.	United Kingdom	1
23153390	Sjøgren's syndrome-associated oxidative stress and mitochondrial dysfunction: prospects for chemopre...	Italy	1
23153391	Cloning and characterization of A cDNA encoding prohibitin1 from Lampetra japonica and its expressio...	China	1
23153392	Migratory gene expression signature predicts poor patient outcome: are cancer stem cells to blame?	No Affiliation Info	0
23153394	Composition of fatty acids in the maternal and umbilical cord plasma of adolescent and adult mothers...	Brazil	1
23153393	High-resolution autosomal radiation hybrid maps of the pig genome and their contribution to the geno...	France	1
23153395	The Uganda Newborn Study (UNEST): an effectiveness study on improving newborn health and survival in...	Other	1
23153397	Terpecurcumins A-I from the rhizomes of Curcuma longa: absolute configuration and cytotoxic activity...	China	1
23153396	Ultraviolet disinfection of antibiotic resistant bacteria and their antibiotic resistance genes in w...	United States	1
23153398	Laparoscopic umbilical hernia repair is the preferred approach in obese patients.	United States	1
23153399	Total synthesis of (-)-isatisine A.	India	1
23153400	Challenging age-old ideas about stroke.	No Affiliation Info	0
23153401	Traumatic brain injury and neuropsychiatric outcomes.	United States	1
23153403	West Nile virus bites back.	No Affiliation Info	0
23153402	Sham neurosurgical procedures: the patients' perspective.	No Affiliation Info	0
23153406	Antithrombotic therapy for stroke prevention in non-valvular atrial fibrillation.	United States	1
23153404	Andres Kanner: shining light on the behavioural aspects of epilepsy.	No Affiliation Info	0
23153407	Measurement and clinical effect of grey matter pathology in multiple sclerosis.	Netherlands	1
23153408	Cognitive decline in older adults with a history of traumatic brain injury.	United States	1
23153409	Autonomous movement of controllable assembled Janus capsule motors.	China	1
23153410	Clinical impact of unsolicited post-prescription antibiotic review in surgical and medical wards: a ...	France	1
23153411	Aggregation and dynamics of oligocholate transporters in phospholipid bilayers revealed by solid-sta...	United States	1
23153412	Reactive transport modeling of chromium isotope fractionation during Cr(VI) reduction.	Canada	1
23153417	An ECM-based culture system for the generation and maintenance of xeno-free human iPS cells.	South Korea	1
23153414	[Clostridium difficile: Is it time to start worrying?].	No Affiliation Info	0
23153413	[The Mexican consensus on gastroesophageal reflux disease. Part I].	Other	1
23153418	The effect of graphene oxide on conformation change, aggregation and cytotoxicity of HIV-1 regulator...	China	1
23153419	Inflammation and diabetes-accelerated atherosclerosis: myeloid cell mediators.	United States	1
23153416	[Blue rubber bleb nevus syndrome: A case report].	Other	1
23153420	Fibroblast growth factor 2 induces the precocious development of endothelial cell networks in bovine...	United Kingdom	1
23153421	Early discharge does not increase readmission or mortality after high-risk vascular surgery.	United States	1
23153423	Primary balloon angioplasty of small (≤2 mm) cephalic veins improves primary patency of arteriovenou...	Italy	1
23153424	[Surgical treatment of liver metastases of gastric cancer].	United Kingdom	1
23153422	Current status and future developments of contrast-enhanced ultrasound of carotid atherosclerosis.	Netherlands	1
23153415	[The "rendez-vous" maneuver as a technical option to access the bile ducts: case series report].	Spain	1
23153425	[Delayed gastric emptying after partial duodenopancreatectomy].	Other	1
23153426	[K-ras mutational status and tumour-infiltrating lymphocytes in human colon cancer: state of the art...	United Kingdom	1
23153427	[Injury to the abdominal wall by a foreign body with  a late perforation of the GIT].	Other	1
23153428	[Complications of breast augmentation  - a case report].	Other	1
23153430	[Endoscopic therapy of early gastric carcinoma].	Other	1
23153431	[Surgical treatment of gastric carcinoma].	United Kingdom	1
23153432	[Surgical treatment of gastroesophageal junction tumors].	United Kingdom	1
23153433	[Laparoscopic surgery for gastric carcinoma].	Other	1
23153434	[Use of laser Doppler to assess peripheral tissue perfusion in critically ill children].	Spain	1
23153435	Fasting blood glucose and insulin sensitivity are unaffected by HAART duration in Cameroonians recei...	Other	1
23153437	Safety and immunogenicity of the pneumococcal pneumolysin derivative PlyD1 in a single-antigen prote...	Switzerland	1
23153436	Lgr5 is a potential marker of colorectal carcinoma stem cells that correlates with patient survival.	China	1
23153438	Yersinia enterocolitica ghost with msbB mutation provides protection and reduces proinflammatory cyt...	China	1
23153439	Cost-effectiveness of adult pneumococcal vaccination: responding to: Weycker D, Sato R, Strutton D, ...	No Affiliation Info	0
23153440	Low opsonic activity to the infecting serotype in pediatric patients with invasive pneumococcal dise...	Japan	1
23153441	Comprehensive evaluation of the adenovirus/alphavirus-replicon chimeric vector-based vaccine rAdV-SF...	China	1
23153442	Acinetobacter baumannii rOmpA vaccine dose alters immune polarization and immunodominant epitopes.	United States	1
23153444	The role of non-viral antigens in the cotton rat model of respiratory syncytial virus vaccine-enhanc...	United States	1
23153445	Effectiveness of influenza vaccination in elderly diabetic patients: a retrospective cohort study.	China	1
23153443	Safety and immunogenicity of recombinant Rift Valley fever MP-12 vaccine candidates in sheep.	United States	1
23153446	Reprint of: Serotyping and antibiotic susceptibility of Streptococcus pneumoniae strains isolated in...	Other	1
23153447	Immune evasion strategies of flaviviruses.	China	1
23153448	Immune responses and protection in children in developing countries induced by oral vaccines.	Bangladesh	1
23153449	Safety and immunogenicity of a Sf9 insect cell-derived respiratory syncytial virus fusion protein na...	United States	1
23153450	Adsorption of recombinant poxvirus L1-protein to aluminum hydroxide/CpG vaccine adjuvants enhances i...	United States	1
23153451	Effects of fatty acids on angiogenic activity in the placental extravillious trophoblast cells.	Norway	1
23153452	Knowledge and practice among Hong Kong oncology nurses in the management of chemotherapy-induced nau...	China	1
23153454	Chromoblastomycosis caused by Fonsecaea: clinicopathology, susceptibility and molecular identificati...	China	1
23153453	Toxicities, complications, and clinical encounters during intraperitoneal chemotherapy in 17 women w...	United States	1
23153456	IFNα converts IL-22 into a cytokine efficiently activating STAT1 and its downstream targets.	Germany	1
23153457	Estrogen receptor β agonists affect growth and gene expression of human breast cancer cell lines.	Germany	1
23153455	Overexpression of ATP-binding cassette transporter ABCG2 as a potential mechanism of acquired resist...	Other	1
23153458	Proteome-wide study of endoplasmic reticulum stress induced by thapsigargin in N2a neuroblastoma cel...	United Kingdom	1
23153461	[Audiological care should be reformed].	No Affiliation Info	0
23153459	Coupling microbial catabolic actions with abiotic redox processes: a new recipe for persistent organ...	South Korea	1
23153463	[Renewal of a hearing aid is a medical task].	Denmark	1
23153462	[Acute medical coordination dispatch centres will be key partners, allowing more people to survive o...	No Affiliation Info	0
23153464	[Vestibular schwannoma as cause of sudden unilateral deafness and tinnitus].	Other	1
23153466	[Pilonidal disease is a benign condition].	Other	1
23153467	[Characteristics, diagnosis and therapy of patients with autoimmune hepatitis].	Denmark	1
23153460	Enhancing stem cell survival in vivo for tissue repair.	United States	1
23153465	[Health professional operators at dispatch centres shall ensure identification of cardiac arrest and...	Other	1
23153468	[Mirtazapine versus other antidepressive agents for depression].	Other	1
23153469	[Family occurrence of steroid-sensitive idiopathic nephrotic syndrome].	Other	1
23153470	[Bullectomy of giant bullae gave significant improvement of lung function].	Other	1
23153472	Acupuncture in the treatment of obesity: a narrative review of the literature.	Greece	1
23153473	Ongoing outbreak of an acute muscular Sarcocystis-like illness among travellers returning from Tioma...	United States	1
23153474	Recurrent pyelonephritis due to NDM-1 metallo-beta-lactamase producing Pseudomonas aeruginosa in a p...	France	1
23153471	Subcutaneous phaeohyphomycosis due to Curvularia lunata in a renal transplant patient.	Mexico	1
23153475	Hospitalisation associated with the 2009 H1N1 pandemic and seasonal influenza in Hong Kong, 2005 to ...	Other	1
23153476	Assessment of the bio-preparedness and of the training of the French hospital laboratories in the ev...	France	1
23153477	Pre-cachexia and cachexia at diagnosis of stage III non-small-cell lung carcinoma: an exploratory st...	Netherlands	1
23153478	Diet-induced antisecretory factor prevents intracranial hypertension in a dosage-dependent manner.	Sweden	1
23153480	Statement regarding the pre and post market assessment of durable, implantable ventricular assist de...	United States	1
23153481	Statement regarding the pre and post market assessment of durable, implantable ventricular assist de...	United States	1
23153482	Neuropsychological profiles of children with aqueductal stenosis and Spina Bifida myelomeningocele.	United States	1
23153483	Quality control and fidelity.	No Affiliation Info	0
23153485	Curvature, lipid packing, and electrostatics of membrane organelles: defining cellular territories i...	France	1
23153484	Building complexity: insights into self-organized assembly of microtubule-based architectures.	United States	1
23153486	Design principles of protein biosynthesis-coupled quality control.	United Kingdom	1
23153487	Chromothripsis: chromosomes in crisis.	United States	1
23153488	Silencing by throwing away: a role for chromatin diminution.	Germany	1
23153489	A new direction for gene looping.	United States	1
23153490	IRE1, a double-edged sword in pre-miRNA slicing and cell death.	United States	1
23153491	Choreographing the axo-dendritic dance.	Switzerland	1
23153493	Anisotropy of Crumbs and aPKC drives myosin cable assembly during tube formation.	United Kingdom	1
23153494	The NF-κB signaling protein Bcl10 regulates actin dynamics by controlling AP1 and OCRL-bearing vesic...	France	1
23153492	Arl13b in primary cilia regulates the migration and placement of interneurons in the developing cere...	United States	1
23153496	Single-cell-resolution imaging of the impact of Notch signaling and mitosis on segmentation clock dy...	United States	1
23153497	Mechanistic differences in the transcriptional interpretation of local and long-range Shh morphogen ...	Sweden	1
23153498	[Paralysing lumbar disc herniation: a surgical emergency? Reflexion about a series of 24 patients an...	Other	1
23153495	Sox2 in the dermal papilla niche controls hair growth by fine-tuning BMP signaling in differentiatin...	United States	1
23153499	(234)U/(238)U signatures associated with uranium ore bodies: part 1 Ranger 3.	Australia	1
23153500	NR5A1 (SF-1) gene variants in a group of 26 young women with XX primary ovarian insufficiency.	France	1
23153501	Review: Transport across the placenta of mice and women.	United Kingdom	1
23153502	The ciliary pocket.	France	1
23153504	Towards a "Lyon molecular signature" to individualize the treatment of rectal cancer. Prognostic ana...	France	1
23153503	Enhanced gemcitabine-mediated cell killing of human lung adenocarcinoma by vector-based RNA interfer...	China	1
23153505	Role of the investigator in phase 1 trials of anticancer drugs.	France	1
23153506	Tolerability, safety, pharmacokinetics, and efficacy of doxorubicin-loaded anti-EGFR immunoliposomes...	Switzerland	1
23153507	A missense mutation in the ITGA8 gene, a cell adhesion molecule gene, is associated with schizophren...	Japan	1
23153508	Rac1/PAK1 signaling promotes epithelial-mesenchymal transition of podocytes in vitro via triggering ...	China	1
23153509	Down-regulation of NAMPT expression by miR-182 is involved in Tat-induced HIV-1 long terminal repeat...	China	1
23153510	Deletion of microRNA miR-223 increases Langerhans cell cross-presentation.	United States	1
23153511	Evolution of improvement and cumulative culture.	Japan	1
23153512	Proposed model for in vitro interaction between fenitrothion and DNA, by using competitive fluoresce...	Iran	1
23153513	Circumcision benefits outweigh risks, but parents should choose according to revised AAP policy.	United States	1
23153514	Effects of natural radiation, photosynthetically active radiation and artificial ultraviolet radiati...	Brazil	1
23153515	The impact of a multifaceted ergonomic intervention program on promoting occupational health in comm...	Other	1
23153516	Identification and characterization of novel microRNA candidates from deep sequencing.	China	1
23153517	Medicinal property, phytochemistry and pharmacology of several Jatropha species (Euphorbiaceae): a r...	Malaysia	1
23153518	Tetracyclic triterpenoids and terpenylated coumarins from the bark of Ailanthus altissima ("Tree of ...	China	1
23153519	Immediate breast reconstruction using porcine acellular dermal matrix (Strattice™): long-term outcom...	United States	1
23153520	Correcting radial shift in fractures of the distal radius.	No Affiliation Info	0
23153521	What is the nature of serotonergic abnormalities in human aggression?	United States	1
23153522	Adhesion of Fusobacterium necrophorum to bovine endothelial cells is mediated by outer membrane prot...	United States	4
23153523	[Medical specialty choice: what impact of teaching? Results of a survey of two medical schools].	France	1
23153524	Alisertib (MLN8237) an investigational agent suppresses Aurora A and B activity, inhibits proliferat...	United States	1
23153525	Localization of the NRAS:BCL-2 complex determines anti-apoptotic features associated with progressiv...	France	1
23153526	Bone marrow dendritic cells are reduced in patients with high-risk myelodysplastic syndromes.	Sweden	1
23153527	Association of retinol binding protein 4 with risk of gestational diabetes.	United States	1
23153528	Metastatic ability: adapting to a tissue site unseen.	United States	1
23153529	PGAMgnam style: a glycolytic switch controls biosynthesis.	United Kingdom	1
23153530	BMP meets AML: induction of BMP signaling by a novel fusion gene promotes pediatric acute leukemia.	United States	1
23153531	Epigenetic therapy leaps ahead with specific targeting of EZH2.	United States	1
23153532	Dependency of colorectal cancer on a TGF-β-driven program in stromal cells for metastasis initiation...	Spain	1
23153533	Phosphoglycerate mutase 1 coordinates glycolysis and biosynthesis to promote tumor growth.	United States	1
23153534	Loss of the Par3 polarity protein promotes breast tumorigenesis and metastasis.	Canada	1
23153535	Differential remodeling of actin cytoskeleton architecture by profilin isoforms leads to distinct ef...	United States	1
23153536	ATF4 regulates MYC-mediated neuroblastoma cell death upon glutamine deprivation.	United States	1
23153538	Crosstalk between ROR1 and the Pre-B cell receptor promotes survival of t(1;19) acute lymphoblastic ...	United States	1
23153537	Aberrant overexpression of IL-15 initiates large granular lymphocyte leukemia through chromosomal in...	United States	1
23153539	Relief of profound feedback inhibition of mitogenic signaling by RAF inhibitors attenuates their act...	United States	1
23153541	SnapShot: Acute myeloid leukemia.	United Kingdom	1
23153542	Intrauterine stress and male cohort quality: the case of September 11, 2001.	United States	1
23153543	Including quality attributes in efficiency measures consistent with net benefit: creating incentives...	Australia	1
23153544	The re-construction of women's sexual lives after pelvic radiotherapy: a critique of social construc...	United Kingdom	1
23153540	An Inv(16)(p13.3q24.3)-encoded CBFA2T3-GLIS2 fusion protein defines an aggressive subtype of pediatr...	United States	1
23153545	Sonodynamic and sonocatalytic damage of BSA molecules by Cresol Red, Cresol Red-DA and Cresol Red-DA...	China	1
23153546	Changes in male hormone profile after occupational organophosphate exposure. A longitudinal study.	Spain	1
23153547	New developments in the pharmacological modulation of wound healing after glaucoma filtration surger...	United Kingdom	1
23153548	Beneficial remodeling of small saccular intracranial aneurysms after staged stent only treatment: a ...	Other	2
23153549	Penumbral imaging by using perfusion computed tomography and perfusion-weighted magnetic resonance i...	Japan	1
23153551	The role of small vessel disease in re-exacerbation of stroke symptoms within 24 hours after tissue ...	Japan	6
23153550	Association of physical activity with the visuospatial/executive functions of the montreal cognitive...	Japan	1
23153553	Directional cell migration in an extracellular pH gradient: a model study with an engineered cell li...	United States	1
23153552	Epithelial to mesenchymal transition and cancer stem cell phenotypes leading to liver metastasis are...	Spain	1
23153555	Housing of growing rabbits in individual, bicellular and collective cages: growth performance, carca...	Italy	1
23153556	Low molecular weight heparins copies: are they considered to be generics or biosimilars?	Italy	1
23153557	Alpha B-crystallin prevents the arrhythmogenic effects of particulate matter isolated from ambient a...	South Korea	1
23153554	PGE2 suppresses NK activity in vivo directly and through adrenal hormones: effects that cannot be re...	Israel	1
23153558	Gallic acid inhibits gastric cancer cells metastasis and invasive growth via increased expression of...	Other	1
23153559	Detection of genotoxic and non-genotoxic carcinogens in Xpc(-/-)p53(+/-) mice.	Netherlands	1
23153561	Use of face masks in a primary care outpatient setting in Hong Kong: Knowledge, attitudes and practi...	China	1
23153562	Prevalence of overweight/obesity and its association with sedentary behavior in children.	Portugal	1
23153560	Sulforaphane is not an effective antagonist of the human pregnane X-receptor in vivo.	United States	1
23153563	The two-cell embryo--two sides of the same coin?	Ireland	1
23153564	Seminal plasma induces prostaglandin-endoperoxide synthase (PTGS) 2 expression in immortalized human...	United States	1
23153565	Enhanced genetic integrity in mouse germ cells.	United States	1
23153566	The role of maternal-fetal cholesterol transport in early fetal life: current insights.	Netherlands	1
23153567	Informal payments for maternity health services in public hospitals in Greece.	Greece	1
23153568	Mobility of health professionals pre and post 2004 and 2007 EU enlargements: evidence from the EU pr...	Germany	1
23153571	Analytical measurement and clinical relevance of vitamin D(3) C3-epimer.	Canada	1
23153570	Dexamethasone administration to the neonatal rat results in neurological dysfunction at the juvenile...	Japan	1
23153572	Subpopulation-proteomics in prokaryotic populations.	Germany	1
23153573	Effect of application mode on interfacial morphology and chemistry between dentine and self-etch adh...	United States	1
23153574	Epigenetics and miRNAs in the diagnosis and treatment of multiple sclerosis.	Canada	1
23153576	Substantia nigra vulnerability after a single moderate diffuse brain injury in the rat.	United States	1
23153575	CXCR7 impact on CXCL12 biology and disease.	Spain	1
23153577	Hydrogen sulfide inhibits preoptic prostaglandin E2 production during endotoxemia.	Brazil	1
23153578	Expression of human E46K-mutated α-synuclein in BAC-transgenic rats replicates early-stage Parkinson...	United States	1
23153579	Ischemic conditioning protects the rat retina in an experimental model of early type 2 diabetes.	Argentina	1
23153580	Magnetic resonance imaging characterization of different experimental autoimmune encephalomyelitis m...	Israel	1
23153569	Parent-youth discordance about youth-witnessed violence: associations with trauma symptoms and servi...	United States	1
23153581	Cbl and Itch binding sites in ERBB4 CYT-1 and CYT-2 mediate K48- and K63-polyubiquitination, respect...	Netherlands	1
23153582	Identification of a novel crosstalk between casein kinase 2α and NPM-ALK in ALK-positive anaplastic ...	Canada	1
23153584	LINE-1 ORF-1p functions as a novel androgen receptor co-activator and promotes the growth of human p...	China	1
23153585	Signaling mechanisms and functional roles of cofilin phosphorylation and dephosphorylation.	Japan	1
23153583	Molecular mechanisms coordinating functional and morphological plasticity at the synapse: role of Gl...	Canada	1
23153586	Regulation of G protein signaling by the 70kDa heat shock protein.	Malaysia	1
23153588	Cyclosporine A and PSC833 inhibit ABCA1 function via direct binding.	Japan	1
23153590	Analysis of disease recurrence and survival for women with uterine malignancies undergoing robotic s...	United States	1
23153591	Old versus new FIGO staging systems in predicting overall survival in patients with uterine leiomyos...	Singapore	1
23153587	False lumen stent placement during iatrogenic coronary dissection.	Spain	1
23153589	Housing of growing rabbits in individual, bicellular and collective cages: fear level and behavioura...	Italy	1
23153592	[Fondaparinux as an alternative anticoagulant in heparin-induced thrombocytopenia in the patient wit...	Spain	1
23153593	[Epidural and anesthesia for urgent cesarean section in a pregnant woman with acute stroke].	Other	1
23153594	[Bilateral and pneumomediastinal pneumothorax after transoral laser microsurgery and tracheotomy].	Other	1
23153595	Plant-pathogen interactions: disease resistance in modern agriculture.	United Kingdom	1
23153596	Our fragile intellect. Part I.	United States	1
23153597	Our fragile intellect. Part II.	United States	1
23153598	Patellar eversion does not adversely affect quadriceps recovery following total knee arthroplasty.	South Korea	1
23153599	Diabetes mellitus and the incidence of deep vein thrombosis after total knee arthroplasty: a retrosp...	China	1
23153600	High diversity of Staphylococcus aureus and Staphylococcus pseudintermedius lineages and toxigenic t...	Spain	1
23153601	Twin Olympians: the hard science and the lives behind it.	United States	1
23153603	New occupational and environmental causes of asthma and extrinsic allergic alveolitis.	United Kingdom	1
23153604	Work-exacerbated asthma.	United States	1
23153605	Occupational chronic obstructive pulmonary disease: an update.	United States	1
23153606	Occupational rhinitis and other work-related upper respiratory tract conditions.	United States	1
23153602	Design, validity, and reliability of a pediatric resident JumpSTART disaster triage scoring instrume...	United States	1
23153608	Newly recognized occupational and environmental causes of chronic terminal airways and parenchymal l...	United States	1
23153607	Indoor fuel exposure and the lung in both developing and developed countries: an update.	United States	1
23153610	Military service and lung disease.	United States	1
23153611	Respiratory health in home and leisure pursuits.	United States	1
23153609	Occupational and environmental causes of lung cancer.	United States	1
23153612	Implications of OSA on Work and Work Disability Including Drivers.	United States	1
23153613	The classic pneumoconioses: new epidemiological and laboratory observations.	United States	1
23153614	Respiratory health effects of ambient air pollution: an update.	Canada	1
23153615	Induced sputum, exhaled nitric oxide, and particles in exhaled air in assessing airways inflammation...	Sweden	1
23153616	Respiratory protection.	United States	1
